energy_product,flow_breakdown,flow_label,n_total,n_present,n_zero,coverage_pct,zero_pct
CRUDEOIL,CLOSTLV,closing_stock_level,8622,4740,775,55.0,9.0
CRUDEOIL,DIRECUSE,direct_use,8622,4372,3865,50.7,44.8
CRUDEOIL,INDPROD,indigenous_production,8622,5296,1679,61.4,19.5
CRUDEOIL,OSOURCES,from_other_sources,8622,75,75,0.9,0.9
CRUDEOIL,REFINOBS,refinery_observed_intake,8622,5040,856,58.5,9.9
CRUDEOIL,STATDIFF,statistical_difference,8622,4614,2273,53.5,26.4
CRUDEOIL,STOCKCH,stock_change,8622,4817,878,55.9,10.2
CRUDEOIL,TOTEXPSB,total_exports,8622,4909,2527,56.9,29.3
CRUDEOIL,TOTIMPSB,total_imports,8622,5129,1492,59.5,17.3
CRUDEOIL,TRANSBAK,transfer_backflow,8622,75,75,0.9,0.9
NGL,CLOSTLV,closing_stock_level,8622,4353,3545,50.5,41.1
NGL,DIRECUSE,direct_use,8622,4352,3201,50.5,37.1
NGL,INDPROD,indigenous_production,8622,4695,2800,54.5,32.5
NGL,OSOURCES,from_other_sources,8622,75,75,0.9,0.9
NGL,REFINOBS,refinery_observed_intake,8622,4406,3387,51.1,39.3
NGL,STATDIFF,statistical_difference,8622,4477,3832,51.9,44.4
NGL,STOCKCH,stock_change,8622,4370,3654,50.7,42.4
NGL,TOTEXPSB,total_exports,8622,4524,3640,52.5,42.2
NGL,TOTIMPSB,total_imports,8622,4481,4042,52.0,46.9
NGL,TRANSBAK,transfer_backflow,8622,75,75,0.9,0.9
OTHERCRUDE,CLOSTLV,closing_stock_level,8622,4645,2076,53.9,24.1
OTHERCRUDE,DIRECUSE,direct_use,8622,4591,1822,53.2,21.1
OTHERCRUDE,INDPROD,indigenous_production,8622,4776,3628,55.4,42.1
OTHERCRUDE,OSOURCES,from_other_sources,8622,4682,2067,54.3,24.0
OTHERCRUDE,REFINOBS,refinery_observed_intake,8622,4676,1651,54.2,19.1
OTHERCRUDE,STATDIFF,statistical_difference,8622,4824,3499,55.9,40.6
OTHERCRUDE,STOCKCH,stock_change,8622,4693,2172,54.4,25.2
OTHERCRUDE,TOTEXPSB,total_exports,8622,4723,3158,54.8,36.6
OTHERCRUDE,TOTIMPSB,total_imports,8622,4740,2870,55.0,33.3
OTHERCRUDE,TRANSBAK,transfer_backflow,8622,4619,2505,53.6,29.1
TOTCRUDE,CLOSTLV,closing_stock_level,8622,4570,1071,53.0,12.4
TOTCRUDE,DIRECUSE,direct_use,8622,4423,1514,51.3,17.6
TOTCRUDE,INDPROD,indigenous_production,8622,5149,2058,59.7,23.9
TOTCRUDE,OSOURCES,from_other_sources,8622,4469,1854,51.8,21.5
TOTCRUDE,REFINOBS,refinery_observed_intake,8622,4836,1214,56.1,14.1
TOTCRUDE,STATDIFF,statistical_difference,8622,4622,2121,53.6,24.6
TOTCRUDE,STOCKCH,stock_change,8622,4678,1229,54.3,14.3
TOTCRUDE,TOTEXPSB,total_exports,8622,4872,2303,56.5,26.7
TOTCRUDE,TOTIMPSB,total_imports,8622,4925,1403,57.1,16.3
TOTCRUDE,TRANSBAK,transfer_backflow,8622,4385,2271,50.9,26.3
