ref_area,period_dt,closing_stock_level,direct_use,from_other_sources,indigenous_production,refinery_observed_intake,statistical_difference,stock_change,total_exports,total_imports,transfer_backflow
AL,2020-01-01,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2020-02-01,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2020-03-01,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2020-04-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2020-05-01,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2020-06-01,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2020-07-01,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2020-08-01,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2020-09-01,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2020-10-01,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2020-11-01,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2020-12-01,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2021-01-01,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2021-02-01,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2021-03-01,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2021-04-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2021-05-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2021-06-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2021-07-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2021-08-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2021-09-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2021-10-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2021-11-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2021-12-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2022-01-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2022-02-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2022-03-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2022-04-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2022-05-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2022-06-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2022-07-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2022-08-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2022-09-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2022-10-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2022-11-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2022-12-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2023-01-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2023-02-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2023-03-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2023-04-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2023-05-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2023-06-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2023-07-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2023-08-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2023-09-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2023-10-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2023-11-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2023-12-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2024-01-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2024-02-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2024-03-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2024-04-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2024-05-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2024-06-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2024-07-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2024-08-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2024-09-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2024-10-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2024-11-01,,0.0,,0.0,0.0,0.0,,0.0,0.0,
AL,2024-12-01,,0.0,,0.0,0.0,0.0,,0.0,0.0,
AL,2025-01-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2025-02-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2025-03-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2025-04-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2025-05-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2025-06-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2025-07-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2025-08-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2025-09-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2025-10-01,,0.0,,0.0,0.0,0.0,,0.0,0.0,
AL,2025-11-01,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AL,2025-12-01,,0.0,,0.0,0.0,,,0.0,0.0,
AL,2026-01-01,,0.0,,0.0,0.0,,,0.0,0.0,
AO,2021-01-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2021-02-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2021-03-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2021-04-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2021-05-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2021-06-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2021-07-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2021-08-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2021-09-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2021-10-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2021-11-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2021-12-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2022-01-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2022-02-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2022-03-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2022-04-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2022-05-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2022-06-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2022-07-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2022-08-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2022-09-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2022-10-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
AO,2022-11-01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,
