period_dt,chokepoint_slug,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,n_days
2019-01-01,bab_el_mandeb,chokepoint4,Bab el-Mandeb Strait,523,318,128,88,525,1057,1582,30433499,15607605,881484,280993,24928786,47203626,72132423,31
2019-01-01,balabac,chokepoint25,Balabac Strait,42,188,42,0,120,272,392,279491,7511335,213490,0,1621347,8004340,9625700,31
2019-01-01,bering,chokepoint26,Bering Strait,23,31,14,7,20,75,95,562458,1407763,71969,12929,598801,2055131,2653936,31
2019-01-01,bohai,chokepoint17,Bohai Strait,533,1747,335,79,646,2694,3340,11360736,68238918,1424167,134324,9182144,81158192,90340349,31
2019-01-01,bosporus,chokepoint3,Bosporus Strait,249,668,1359,20,795,2296,3091,2136497,14820240,2772299,10977,15273748,19740048,35013812,31
2019-01-01,cape_of_good_hope,chokepoint7,Cape of Good Hope,192,762,87,47,372,1088,1460,5087922,44258569,826229,128253,27096069,50301020,77397104,31
2019-01-01,dover,chokepoint9,Dover Strait,1062,634,1233,366,1555,3295,4850,25494684,25540674,3541788,686853,29363856,55264049,84627921,31
2019-01-01,gibraltar,chokepoint8,Gibraltar Strait,799,714,508,150,1011,2171,3182,25976427,29388684,2014745,353858,27442481,57733767,85176264,31
2019-01-01,hormuz,chokepoint6,Strait of Hormuz,263,321,104,53,1174,741,1915,9606108,10328626,542803,107033,54153469,20584612,74738103,31
2019-01-01,kerch,chokepoint28,Kerch Strait,14,72,967,18,332,1071,1403,76534,516385,1223198,14533,1231293,1830670,3061975,31
2019-01-01,korea,chokepoint12,Korea Strait,1698,1215,1594,263,2060,4770,6830,21800484,31100153,3703527,315564,26043860,56919779,82963652,31
2019-01-01,lombok,chokepoint15,Lombok Strait,8,682,54,12,208,756,964,62997,51603487,147558,16124,3980041,51830190,55810242,31
2019-01-01,luzon,chokepoint14,Luzon Strait,167,946,147,81,730,1341,2071,3156690,68272329,842504,178451,40972487,72450013,113422516,31
2019-01-01,magellan,chokepoint21,Magellan Strait,9,46,9,5,33,69,102,112894,1752679,49911,18427,740116,1933918,2674037,31
2019-01-01,makassar,chokepoint20,Makassar Strait,59,1217,57,3,149,1336,1485,480775,63772989,131517,3396,1608727,64388700,65997440,31
2019-01-01,malacca,chokepoint5,Malacca Strait,1334,1289,375,180,2095,3178,5273,41043386,71342750,1898793,391727,92227230,114676705,206903950,31
2019-01-01,mindoro,chokepoint27,Mindoro Strait,32,1002,88,4,97,1126,1223,376423,53484680,259841,6013,1138689,54126980,55265683,31
2019-01-01,mona,chokepoint24,Mona Passage,104,69,47,18,95,238,333,1971329,3255745,283648,47343,2073502,5558100,7631615,31
2019-01-01,ombai,chokepoint16,Ombai Strait,29,193,37,2,123,261,384,579432,17234178,121960,0,2486656,17935591,20422258,31
2019-01-01,oresund,chokepoint10,Oresund Strait,186,183,691,119,376,1179,1555,378873,872085,1055400,95194,814271,2401596,3215886,31
2019-01-01,panama,chokepoint2,Panama Canal,219,230,57,77,367,583,950,6643067,8828683,399721,244274,9158348,16115783,25274149,31
2019-01-01,suez,chokepoint1,Suez Canal,509,311,145,76,497,1041,1538,29901439,15379492,776078,289185,23702966,46346232,70049211,31
2019-01-01,sunda,chokepoint19,Sunda Strait,96,308,57,15,309,476,785,1480383,17437408,190541,23878,6689964,19132244,25822219,31
2019-01-01,taiwan,chokepoint11,Taiwan Strait,2649,1946,903,210,1997,5708,7705,50015864,72938154,4646649,386142,29207513,127986858,157194386,31
2019-01-01,torres,chokepoint18,Torres Strait,45,131,42,10,55,228,283,952960,3515257,191487,13567,1327255,4673298,6000559,31
2019-01-01,tsugaru,chokepoint13,Tsugaru Strait,313,441,144,44,416,942,1358,10058956,14860961,429038,113647,3709282,25462644,29171941,31
2019-01-01,windward,chokepoint23,Windward Passage,196,81,68,41,88,386,474,3948527,2643590,235244,131477,1459934,6958877,8418822,31
2019-01-01,yucatan,chokepoint22,Yucatan Channel,265,240,116,39,682,660,1342,2437310,7646362,526679,118098,20058466,10728488,30786966,31
2019-02-01,bab_el_mandeb,chokepoint4,Bab el-Mandeb Strait,494,297,119,86,468,996,1464,30159132,14349221,665191,299015,23688489,45472607,69161113,28
2019-02-01,balabac,chokepoint25,Balabac Strait,27,128,45,0,104,200,304,180614,4764828,173456,0,1330644,5118920,6449576,28
2019-02-01,bering,chokepoint26,Bering Strait,16,24,7,6,12,53,65,445898,801626,10049,0,506895,1257580,1764477,28
2019-02-01,bohai,chokepoint17,Bohai Strait,441,1700,250,59,662,2450,3112,9208650,69703231,895867,107370,9759540,79915156,89674706,28
2019-02-01,bosporus,chokepoint3,Bosporus Strait,225,624,1187,19,721,2055,2776,2434430,15967930,2518503,9891,14882602,20930789,35813403,28
2019-02-01,cape_of_good_hope,chokepoint7,Cape of Good Hope,177,729,88,49,345,1043,1388,4719582,38644867,783454,109853,25886457,44257785,70144254,28
2019-02-01,dover,chokepoint9,Dover Strait,1060,557,1208,385,1547,3210,4757,25567924,22924876,3551525,854070,32079789,52898434,84978238,28
2019-02-01,gibraltar,chokepoint8,Gibraltar Strait,742,637,562,148,927,2089,3016,26015513,27658528,2075521,382976,25629772,56132582,81762372,28
2019-02-01,hormuz,chokepoint6,Strait of Hormuz,249,344,89,41,1088,723,1811,8838657,10023239,446274,87396,41404776,19395596,60800388,28
2019-02-01,kerch,chokepoint28,Kerch Strait,12,50,739,12,273,813,1086,17961,303999,960043,17033,768764,1299055,2067834,28
2019-02-01,korea,chokepoint12,Korea Strait,1412,1126,1507,226,1840,4271,6111,16853579,27001937,3183964,370900,23595398,47410417,71005832,28
2019-02-01,lombok,chokepoint15,Lombok Strait,9,657,52,14,194,732,926,42045,57679144,179905,19379,3533288,57920494,61453799,28
2019-02-01,luzon,chokepoint14,Luzon Strait,152,807,122,71,675,1152,1827,2865166,60210948,699255,120811,42157797,63896224,106054031,28
2019-02-01,magellan,chokepoint21,Magellan Strait,11,51,13,6,22,81,103,93958,1639581,85490,12322,331603,1831356,2162964,28
2019-02-01,makassar,chokepoint20,Makassar Strait,61,1120,59,3,135,1243,1378,610472,66545158,255704,3718,1334102,67415078,68749193,28
2019-02-01,malacca,chokepoint5,Malacca Strait,1197,1104,396,174,1964,2871,4835,35895704,59434581,2030850,419605,87751727,97780782,185532518,28
2019-02-01,mindoro,chokepoint27,Mindoro Strait,39,923,81,3,75,1046,1121,469555,50605172,375138,3718,776590,51453608,52230205,28
2019-02-01,mona,chokepoint24,Mona Passage,98,59,38,14,73,209,282,1960428,3634540,261794,22831,1618041,5879619,7497669,28
2019-02-01,ombai,chokepoint16,Ombai Strait,23,178,40,7,99,248,347,539586,16823453,153243,23352,2413668,17539655,19953333,28
2019-02-01,oresund,chokepoint10,Oresund Strait,191,171,704,100,346,1166,1512,454675,614460,1091924,69563,721541,2230657,2952211,28
2019-02-01,panama,chokepoint2,Panama Canal,195,229,44,63,323,531,854,6314832,9042509,322033,213058,7265365,15892468,23157847,28
2019-02-01,suez,chokepoint1,Suez Canal,494,286,126,74,428,980,1408,29629200,14344263,589764,285615,22891552,44848886,67740451,28
2019-02-01,sunda,chokepoint19,Sunda Strait,95,281,64,17,282,457,739,1490390,19044144,276277,29644,4636541,20840479,25477041,28
2019-02-01,taiwan,chokepoint11,Taiwan Strait,2024,1653,682,159,1745,4518,6263,39255682,62037677,3471049,304363,24043180,105068812,129112007,28
2019-02-01,torres,chokepoint18,Torres Strait,32,82,46,12,49,172,221,753053,2834511,182538,27049,854519,3797176,4651704,28
2019-02-01,tsugaru,chokepoint13,Tsugaru Strait,272,344,177,33,417,826,1243,8111638,10726013,415945,100539,3035988,19354175,22390175,28
2019-02-01,windward,chokepoint23,Windward Passage,173,84,71,46,77,374,451,3784575,2665599,297206,119100,1711392,6866514,8577918,28
2019-02-01,yucatan,chokepoint22,Yucatan Channel,228,222,100,28,537,578,1115,2130014,7732934,558292,60202,14356852,10481478,24838342,28
2019-03-01,bab_el_mandeb,chokepoint4,Bab el-Mandeb Strait,515,295,136,87,553,1033,1586,30909489,14652093,788599,330118,26057939,46680341,72738301,31
2019-03-01,balabac,chokepoint25,Balabac Strait,36,174,38,4,120,252,372,247196,6460194,120782,8391,1040219,6836585,7876818,31
2019-03-01,bering,chokepoint26,Bering Strait,15,23,6,6,12,50,62,527625,968824,22023,23877,519135,1542357,2061496,31
2019-03-01,bohai,chokepoint17,Bohai Strait,611,1995,382,88,770,3076,3846,13019545,78599269,1655141,192281,13841420,93466277,107307712,31
2019-03-01,bosporus,chokepoint3,Bosporus Strait,261,714,1496,27,809,2498,3307,2558383,18719141,2927107,13550,15845437,24218219,40063672,31
2019-03-01,cape_of_good_hope,chokepoint7,Cape of Good Hope,155,696,79,46,390,976,1366,4848492,39578529,808365,145069,31194600,45380495,76575110,31
2019-03-01,dover,chokepoint9,Dover Strait,1052,694,1258,422,1680,3426,5106,26536711,26558064,3460670,959702,36034821,57515189,93550025,31
2019-03-01,gibraltar,chokepoint8,Gibraltar Strait,791,754,589,174,1044,2308,3352,27287477,31152084,2402546,387316,32353357,61229470,93582843,31
2019-03-01,hormuz,chokepoint6,Strait of Hormuz,289,368,98,48,1300,803,2103,10955938,10521944,600177,62884,52658919,22140980,74799916,31
2019-03-01,kerch,chokepoint28,Kerch Strait,9,61,985,16,349,1071,1420,12260,405616,1301057,19644,1188602,1738598,2927213,31
2019-03-01,korea,chokepoint12,Korea Strait,1739,1194,1695,264,1898,4892,6790,22447889,30278842,4090915,378520,21922419,57196217,79118648,31
2019-03-01,lombok,chokepoint15,Lombok Strait,9,664,48,11,218,732,950,52791,46508281,144232,16914,4024518,46722235,50746769,31
2019-03-01,luzon,chokepoint14,Luzon Strait,137,794,120,88,605,1139,1744,2372383,55548057,577337,165846,40689185,58663663,99352864,31
2019-03-01,magellan,chokepoint21,Magellan Strait,11,44,9,8,26,72,98,103270,1400267,45253,12953,680261,1561745,2242012,31
2019-03-01,makassar,chokepoint20,Makassar Strait,61,1227,66,11,168,1365,1533,507418,60906608,203542,20310,1914350,61637902,63552272,31
2019-03-01,malacca,chokepoint5,Malacca Strait,1295,1238,439,185,1974,3157,5131,39899648,64790918,2218916,460172,93164803,107369703,200534520,31
2019-03-01,mindoro,chokepoint27,Mindoro Strait,38,946,78,6,132,1068,1200,517685,51057524,235821,8106,1614014,51819163,53433188,31
2019-03-01,mona,chokepoint24,Mona Passage,116,75,42,17,94,250,344,2221957,4768214,192576,30531,2753117,7213305,9966438,31
2019-03-01,ombai,chokepoint16,Ombai Strait,37,174,44,6,116,261,377,651832,14120775,95724,16223,2751481,14884586,17636082,31
2019-03-01,oresund,chokepoint10,Oresund Strait,195,178,756,117,343,1246,1589,383503,746720,1171477,76540,708758,2378280,3087058,31
2019-03-01,panama,chokepoint2,Panama Canal,199,215,62,71,379,547,926,5982287,8851863,425063,287972,7972975,15547226,23520217,31
