period_dt,chokepoint_slug,portid,portname,n_container,n_dry_bulk,n_general_cargo,n_roro,n_tanker,n_cargo,n_total,capacity_container,capacity_dry_bulk,capacity_general_cargo,capacity_roro,capacity_tanker,capacity_cargo,capacity,n_days
2019-01-01,hormuz,chokepoint6,Strait of Hormuz,263,321,104,53,1174,741,1915,9606108,10328626,542803,107033,54153469,20584612,74738103,31
2019-02-01,hormuz,chokepoint6,Strait of Hormuz,249,344,89,41,1088,723,1811,8838657,10023239,446274,87396,41404776,19395596,60800388,28
2019-03-01,hormuz,chokepoint6,Strait of Hormuz,289,368,98,48,1300,803,2103,10955938,10521944,600177,62884,52658919,22140980,74799916,31
2019-04-01,hormuz,chokepoint6,Strait of Hormuz,325,432,96,58,1376,911,2287,11707618,13513989,604668,100981,61397039,25927291,87324346,30
2019-05-01,hormuz,chokepoint6,Strait of Hormuz,389,482,103,51,1613,1025,2638,13928816,14358673,705390,80085,81432506,29073008,110505529,31
2019-06-01,hormuz,chokepoint6,Strait of Hormuz,363,458,101,53,1557,975,2532,13284460,15336839,563371,58992,79057927,29243697,108301639,30
2019-07-01,hormuz,chokepoint6,Strait of Hormuz,407,470,130,66,1536,1073,2609,13214170,14380881,722227,96044,76653290,28413361,105066666,31
2019-08-01,hormuz,chokepoint6,Strait of Hormuz,380,434,112,57,1580,983,2563,13607648,14187752,653737,89784,79782682,28538960,108321654,31
2019-09-01,hormuz,chokepoint6,Strait of Hormuz,375,432,105,58,1460,970,2430,12212666,13501443,707066,106053,73686765,26527262,100214040,30
2019-10-01,hormuz,chokepoint6,Strait of Hormuz,349,398,104,66,1465,917,2382,12081817,11281840,629501,114281,75853856,24107479,99961352,31
2019-11-01,hormuz,chokepoint6,Strait of Hormuz,266,297,92,61,1166,716,1882,9955295,10065658,571546,147696,45629331,20740239,66369582,30
2019-12-01,hormuz,chokepoint6,Strait of Hormuz,269,333,89,52,1213,743,1956,9338617,10578263,429448,82958,45900103,20429324,66329443,31
