refYear,layer,exporter,importer,value_usd
2020,ammonia,ARE,AZE,935.0
2020,ammonia,ARE,CHN,45392937.0
2020,ammonia,ARE,GHA,590.467
2020,ammonia,ARE,IND,12192202.45
2020,ammonia,ARE,MDG,34060.189
2020,ammonia,ARE,MYS,3067.551
2020,ammonia,ARE,NGA,10712.57
2020,ammonia,ARE,SGP,1804048.813
2020,ammonia,ARE,TZA,3723.0
2020,ammonia,ARG,BOL,32621.98
2020,ammonia,ARG,BRA,4551482.0
2020,ammonia,ARG,CHL,1211974.91
2020,ammonia,ARG,PRY,32258.0
2020,ammonia,ARG,URY,6717.54
2020,ammonia,AUS,FJI,31252.021
2020,ammonia,AUS,IDN,2670000.0
2020,ammonia,AUS,JPN,8621816.173
2020,ammonia,AUS,KOR,12970321.0
2020,ammonia,AUS,NZL,230430.033
2020,ammonia,AUS,SGP,410295.389
2020,ammonia,AUS,THA,11737005.17
2020,ammonia,AUT,BEL,4.678
2020,ammonia,AUT,BGR,3521.813
2020,ammonia,AUT,CHE,338171.157
2020,ammonia,AUT,CZE,2395172.0
2020,ammonia,AUT,DEU,1392291.808
2020,ammonia,AUT,EST,4805.89
2020,ammonia,AUT,FRA,2638952.115
2020,ammonia,AUT,HRV,3620.0
2020,ammonia,AUT,HUN,9777.0
2020,ammonia,AUT,LTU,1226.0
2020,ammonia,AUT,LVA,137.122
2020,ammonia,AUT,MNE,363.028
2020,ammonia,AUT,NLD,1492.99
2020,ammonia,AUT,POL,17678.0
2020,ammonia,AUT,ROU,10052.81
2020,ammonia,AUT,RUS,90.51
2020,ammonia,AUT,SRB,2445.0
2020,ammonia,AUT,SVK,98.585
2020,ammonia,AUT,SVN,307986.623
2020,ammonia,AUT,THA,419.079
2020,ammonia,BEL,BDI,26599.658
2020,ammonia,BEL,BFA,3472.663
2020,ammonia,BEL,BGR,443.046
2020,ammonia,BEL,BIH,6.47
2020,ammonia,BEL,BOL,10768.53
2020,ammonia,BEL,BRA,72.0
2020,ammonia,BEL,CAN,32456.461
2020,ammonia,BEL,CHE,4084.1440000000002
2020,ammonia,BEL,CHN,47.0
2020,ammonia,BEL,COD,35545.363
2020,ammonia,BEL,CZE,199162.0
2020,ammonia,BEL,DEU,833730.087
2020,ammonia,BEL,DNK,189579.63199999998
2020,ammonia,BEL,DOM,30027.252999999997
2020,ammonia,BEL,ESP,28091.197
2020,ammonia,BEL,FIN,126.90899999999999
2020,ammonia,BEL,FRA,5860327.675
2020,ammonia,BEL,GBR,58695.202
2020,ammonia,BEL,GHA,52409.95
2020,ammonia,BEL,GRC,182.355
2020,ammonia,BEL,HUN,14455.0
2020,ammonia,BEL,IND,8258.458
2020,ammonia,BEL,IRL,278626.186
2020,ammonia,BEL,ISR,1000.0
2020,ammonia,BEL,ITA,62236.181
2020,ammonia,BEL,LTU,2756.0
2020,ammonia,BEL,LUX,316104.027
2020,ammonia,BEL,LVA,25212.201
2020,ammonia,BEL,MDA,150.0
2020,ammonia,BEL,NGA,412292.101
2020,ammonia,BEL,NLD,2784480.618
2020,ammonia,BEL,NOR,2274980.04
2020,ammonia,BEL,PAK,10625.877
2020,ammonia,BEL,POL,27651.0
2020,ammonia,BEL,PRT,25315.315
2020,ammonia,BEL,ROU,15661.76
2020,ammonia,BEL,SEN,10426.945
2020,ammonia,BEL,SGP,846.683
2020,ammonia,BEL,SRB,29.0
2020,ammonia,BEL,SVN,877.94
2020,ammonia,BEL,SWE,43717.214
2020,ammonia,BEL,TUR,44.0
