refYear,layer,importer,world_total_imports_usd
2020,ammonia,AGO,79289.019
2020,ammonia,AND,86.21
2020,ammonia,ARG,348688.49
2020,ammonia,ARM,35917.1
2020,ammonia,ATG,24819.521
2020,ammonia,AUS,17040021.168
2020,ammonia,AZE,153489.91
2020,ammonia,BDI,28037.082
2020,ammonia,BEL,172833213.567
2020,ammonia,BEN,1494.1109999999999
2020,ammonia,BFA,9934.703
2020,ammonia,BGR,70838542.186
2020,ammonia,BIH,4354504.44
2020,ammonia,BLR,25031300.0
2020,ammonia,BLZ,2755.59
2020,ammonia,BMU,5664.1900000000005
2020,ammonia,BOL,168300.83000000002
2020,ammonia,BRA,95092814.0
2020,ammonia,BRB,6546.5
2020,ammonia,BRN,304519.087
2020,ammonia,BWA,37423.005000000005
2020,ammonia,CAN,3161793.5919999997
2020,ammonia,CHE,4298965.275
2020,ammonia,CHL,79755472.586
2020,ammonia,CHN,331170483.0
2020,ammonia,COD,134591.437
2020,ammonia,COL,14588162.1
2020,ammonia,CRI,201921.71000000002
2020,ammonia,CYP,55128.044
2020,ammonia,CZE,51414087.0
2020,ammonia,DEU,142236341.802
2020,ammonia,DNK,9912449.366
2020,ammonia,DOM,218396.002
2020,ammonia,ECU,408879.484
2020,ammonia,EGY,8404.539999999999
2020,ammonia,ESP,103697910.099
2020,ammonia,EST,887069.33
2020,ammonia,FIN,903069.783
2020,ammonia,FJI,34715.886
2020,ammonia,FRA,127812345.271
2020,ammonia,GBR,777309.772
2020,ammonia,GEO,9043.32
2020,ammonia,GHA,101224.735
2020,ammonia,GMB,3463.881
2020,ammonia,GRC,20515446.943
2020,ammonia,GRD,4742.223
2020,ammonia,GTM,1881013.0
2020,ammonia,GUY,77208.58
2020,ammonia,HKG,198811.35
2020,ammonia,HRV,1904085.0
2020,ammonia,HUN,740279.0
2020,ammonia,IDN,6262740.0
2020,ammonia,IND,635930814.912
2020,ammonia,IRL,7856717.087
2020,ammonia,ISL,325242.37700000004
2020,ammonia,ISR,37512000.0
2020,ammonia,ITA,6597966.071
2020,ammonia,JPN,62244417.599999994
2020,ammonia,KAZ,10743431.83
2020,ammonia,KEN,161089.494
2020,ammonia,KGZ,25795.0
2020,ammonia,KHM,292087.25
2020,ammonia,KOR,331607221.0
2020,ammonia,LAO,2399973.6100000003
2020,ammonia,LSO,1304.103
2020,ammonia,LTU,29379709.0
2020,ammonia,LUX,443297.302
2020,ammonia,LVA,167023.328
2020,ammonia,MAR,419950759.647
2020,ammonia,MDA,224035.0
2020,ammonia,MDG,4704334.035
2020,ammonia,MEX,103458795.0
2020,ammonia,MKD,142101.47
2020,ammonia,MLT,2905.646
2020,ammonia,MMR,153370.21
2020,ammonia,MNE,6437.107
2020,ammonia,MNG,35852.04
2020,ammonia,MOZ,53461.75
2020,ammonia,MRT,145084.25400000002
2020,ammonia,MSR,332.334
2020,ammonia,MUS,68749.913
2020,ammonia,MWI,23646.988
2020,ammonia,MYS,10547696.089
2020,ammonia,NAM,1787339.432
2020,ammonia,NGA,2138962.3880000003
2020,ammonia,NIC,135217.71
2020,ammonia,NLD,66654739.74
2020,ammonia,NOR,121745693.182
2020,ammonia,NZL,304183.32499999995
2020,ammonia,PAK,732364.627
2020,ammonia,PAN,147435.0
2020,ammonia,PER,226675.98
2020,ammonia,PHL,7595538.0
2020,ammonia,POL,2469426.0
2020,ammonia,PRT,45706097.499
2020,ammonia,PRY,233859.0
2020,ammonia,PYF,1341.678
