n_nodes_active,n_edges,density,reciprocity,avg_clustering,lwcc_frac,lscc_frac,global_efficiency,year,layer
153,1481,0.06368249054007567,0.32680621201890614,0.5104076416625717,1.0,0.5686274509803921,2575902.1307434086,2020,wheat
142,1054,0.05264209369693337,0.269449715370019,0.5654269486800383,1.0,0.4507042253521127,320024.0172818375,2020,ammonia
149,1682,0.07627426083801923,0.31391200951248516,0.5081718172092439,1.0,0.4899328859060403,974512.6483361183,2020,urea
141,945,0.047872340425531915,0.24973544973544973,0.4533235637719693,1.0,0.5035460992907801,2260222.2118123253,2020,lpg_propane
159,1237,0.04923971021415492,0.2635408245755861,0.4659465450811275,1.0,0.44025157232704404,968010.3721170137,2020,lpg_butane
158,1565,0.06308957510279771,0.33099041533546325,0.46937964591406506,1.0,0.5379746835443038,2691232.3701612344,2021,wheat
141,1102,0.055825734549138806,0.27586206896551724,0.5411775594177982,1.0,0.46099290780141844,694446.9205548695,2021,ammonia
152,1777,0.0774224468455908,0.3489026449071469,0.4835682467365016,0.9868421052631579,0.5263157894736842,1506036.4630323744,2021,urea
147,925,0.04309943155344329,0.26594594594594595,0.364765674765762,1.0,0.4421768707482993,3226529.9705345468,2021,lpg_propane
156,1233,0.05099255583126551,0.27412814274128144,0.4529286661821223,1.0,0.4935897435897436,1666588.111165407,2021,lpg_butane
151,1542,0.0680794701986755,0.37094682230869,0.49075747243665746,1.0,0.6225165562913907,3830970.729226031,2022,wheat
138,1164,0.06156775626785148,0.27319587628865977,0.5503728395238048,1.0,0.4782608695652174,1441357.3768628133,2022,ammonia
146,1992,0.09409541804440245,0.35642570281124497,0.5297524549437942,1.0,0.6232876712328768,2966256.3868541364,2022,urea
147,954,0.04445065697511882,0.2578616352201258,0.4211161502400848,1.0,0.42857142857142855,4022022.2386580324,2022,lpg_propane
155,1238,0.05186426476749057,0.2633279483037157,0.4251874546554571,1.0,0.38064516129032255,1973346.7836158408,2022,lpg_butane
150,1475,0.06599552572706935,0.32949152542372884,0.4939838348315931,1.0,0.5933333333333334,3698255.797964716,2023,wheat
130,1114,0.06642814549791294,0.29443447037701975,0.5504848241316216,1.0,0.5153846153846153,806106.2744291795,2023,ammonia
147,1906,0.08880812599012207,0.323189926547744,0.5117715801613799,1.0,0.5578231292517006,1620493.7448670662,2023,urea
138,920,0.04866180048661801,0.24347826086956523,0.42662420542188456,1.0,0.43478260869565216,3732655.309663981,2023,lpg_propane
135,1189,0.06572692095080154,0.287636669470143,0.46254936375788575,1.0,0.5185185185185185,2005116.6382076005,2023,lpg_butane
145,1377,0.06594827586206897,0.35003631082062453,0.45713345691443563,1.0,0.5241379310344828,3044518.199893873,2024,wheat
117,982,0.07235484821691718,0.3319755600814664,0.5616366414366413,1.0,0.48717948717948717,789430.9393892016,2024,ammonia
142,1689,0.08435720707222055,0.3339253996447602,0.500352263730982,1.0,0.5211267605633803,1373085.6448736375,2024,urea
125,888,0.05729032258064516,0.25225225225225223,0.45208517867351045,1.0,0.432,5023641.971734584,2024,lpg_propane
134,1066,0.05981371338794748,0.2776735459662289,0.4778658307090117,1.0,0.4701492537313433,2034276.891279201,2024,lpg_butane
