period_dt,price_usd,layer,log_price
1960-01-01,59.89,wheat,4.092509546276371
1960-02-01,60.99,wheat,4.110709916308365
1960-03-01,61.73,wheat,4.122770036405805
1960-04-01,60.99,wheat,4.110709916308365
1960-05-01,57.69,wheat,4.055083848268798
1960-06-01,55.48,wheat,4.016022595446631
1960-07-01,54.75,wheat,4.00277736869661
1960-08-01,55.12,wheat,4.009512626705403
1960-09-01,56.59,wheat,4.035832291154432
1960-10-01,56.95,wheat,4.0421736898931915
1960-11-01,57.69,wheat,4.055083848268798
1960-12-01,58.05,wheat,4.061304708143901
1961-01-01,58.79,wheat,4.073971772414164
1961-02-01,59.16,wheat,4.080245637842599
1961-03-01,58.05,wheat,4.061304708143901
1961-04-01,57.32,wheat,4.048649602959971
1961-05-01,55.85,wheat,4.02266952551521
1961-06-01,54.38,wheat,3.995996439204325
1961-07-01,56.59,wheat,4.035832291154432
1961-08-01,58.79,wheat,4.073971772414164
1961-09-01,59.89,wheat,4.092509546276371
1961-10-01,60.26,wheat,4.098668533702155
1961-11-01,61.73,wheat,4.122770036405805
1961-12-01,62.46,wheat,4.134526351854933
1962-01-01,60.63,wheat,4.1047898200836395
1962-02-01,61.36,wheat,4.116758157059
1962-03-01,61.73,wheat,4.122770036405805
1962-04-01,62.1,wheat,4.128745988939433
1962-05-01,63.57,wheat,4.152141660948318
1962-06-01,64.3,wheat,4.163559631243574
1962-07-01,65.4,wheat,4.180522258463153
1962-08-01,66.51,wheat,4.19735231229633
1962-09-01,65.77,wheat,4.186163807313259
1962-10-01,64.3,wheat,4.163559631243574
1962-11-01,68.71,wheat,4.229894749042985
1962-12-01,67.61,wheat,4.213755901102586
1963-01-01,67.24,wheat,4.208268308540415
1963-02-01,68.34,wheat,4.2244952466871455
1963-03-01,69.45,wheat,4.240607069200353
1963-04-01,70.92,wheat,4.2615524812060075
1963-05-01,67.61,wheat,4.213755901102586
1963-06-01,58.42,wheat,4.067658296959595
1963-07-01,57.69,wheat,4.055083848268798
1963-08-01,58.42,wheat,4.067658296959595
1963-09-01,60.63,wheat,4.1047898200836395
1963-10-01,65.04,wheat,4.175002465239555
1963-11-01,65.04,wheat,4.175002465239555
1963-12-01,65.04,wheat,4.175002465239555
1964-01-01,64.04,wheat,4.159507888128514
1964-02-01,66.14,wheat,4.191773707553646
1964-03-01,66.87,wheat,4.202750436065887
1964-04-01,67.61,wheat,4.213755901102586
1964-05-01,69.45,wheat,4.240607069200353
1964-06-01,65.04,wheat,4.175002465239555
1964-07-01,68.71,wheat,4.229894749042985
1964-08-01,68.71,wheat,4.229894749042985
1964-09-01,69.08,wheat,4.235265253278478
1964-10-01,68.71,wheat,4.229894749042985
